ingredient_id,category,subcategory,ingredient_name
1,Liqour,Tequila,Jose Cuervo Gold
2,Liqour,Tequila,Jose Cuervo Gold
3,Liqour,Tequila,Jose Cuervo Silver
4,Liqour,Tequila,Jose Cuervo Silver
5,Liqour,Tequila,Olmeca Gold
6,Liqour,Tequila,Olmeca Silver
7,Liqour,Tequila,Olmeca chocolate
8,Liqour,Tequila,Sierra Gold
9,Liqour,Tequila,Sierra Silver
10,Liqour,Tequila,Camino Gold
11,Liqour,Tequila,Camino silver
12,Liqour,Tequila,El charro Gold
13,Liqour,Tequila,El charro silver
14,Liqour,Tequila,Margaritaville Calypso Coconut
15,Liqour,Tequila,Margaritaville Island Lime
16,Liqour,Tequila,Margaritaville last Mango
17,Liqour,Tequila,Margaritaville Paradise Passion Fruit
18,Liqour,Tequila,Los Cabos Silver
19,Liqour,Tequila,Los Cabos Gold
20,Liqour,Gin,Gilbeys Gin
21,Liqour,Gin,Beefeater
22,Liqour,Gin,Bombay Sapphire
23,Liqour,Gin,Bombay Sapphire
24,Liqour,Gin,Gordons 
25,Liqour,Gin,Gordons 
26,Liqour,Gin,Chrome Gin
27,Liqour,Gin,Beefeater Blood Orange
28,Liqour,Gin,Gilbeys Mixed Berry
29,Liqour,Gin,Kenyan Original 58 Orange
30,Liqour,Gin,Kenyan Original 58 Classic        
31,Liqour,Gin,Caribia Gin
32,Liqour,Gin,Bustani Gin
33,Liqour,Rum,Captain Morgan Spiced Gold
34,Liqour,Rum,Captain Morgan Spiced Gold
35,Liqour,Rum,Captain Morgan Dark
36,Liqour,Rum,Old Monk
37,Liqour,Rum,Myers Dark Rum
38,Liqour,Rum,Kenya Cane Coconut
39,Liqour,Rum,Kenya Cane Pineapple
40,Liqour,Rum,Kenya Cane Smooth
41,Liqour,Rum,Kenya Cane Lemon Ginger
42,Liqour,Rum,Kenya Cane Citrus
43,Liqour,Rum,Barcardi Spiced Rum
44,Liqour,Rum,Barcardi Oro
45,Liqour,Rum,Barcadi Oro
46,Liqour,Rum,Barcadi Limon
47,Liqour,Rum,Barcardi Carta Blanca Gold
48,Liqour,Rum,Old Nick Carribean
49,Liqour,Rum,Old Nick Carribean
50,Liqour,Rum,Old Nick Carribean Dark
51,Liqour,Rum,Malibu
52,Liqour,Rum,Havana Club Anejo
53,Liqour,Rum,Cachaca 51
54,Liqour,Rum,Cachaca 51
55,Liqour,Vodka,Sminorff Red
56,Liqour,Vodka,Sminorff Red 
57,Liqour,Vodka,Sminorff Vanilla
58,Liqour,Vodka,Sminorff Orange
59,Liqour,Vodka,Sminorff Orange
60,Liqour,Vodka,Sminorff Espresso
61,Liqour,Vodka,Sminorff Espresso
62,Liqour,Vodka,Sminorff Gold
63,Liqour,Vodka,Sminorff Citrus
64,Liqour,Vodka,Sminorff Citrus
65,Liqour,Vodka,Sminorff Green Apple
66,Liqour,Vodka,Sminorff Green Apple
67,Liqour,Vodka,Sminorff Black
68,Liqour,Vodka,Sminorff Raspberry
69,Liqour,Vodka,Sminorff Raspberry
70,Liqour,Vodka,Sminorff Blue
71,Liqour,Vodka,Sminorff Blueberry
72,Liqour,Vodka,Sminorff Blue
73,Liqour,Vodka,Skyy Raspberry
74,Liqour,Vodka,Skyy Raspberry
75,Liqour,Vodka,Skyy Grape
76,Liqour,Vodka,Skyy Grape
77,Liqour,Vodka,Skyy Ginger
78,Liqour,Vodka,Skyy Ginger
79,Liqour,Vodka,Skyy Dragon Fruit
80,Liqour,Vodka,Skyy Dragon Fruit
81,Liqour,Vodka,Skyy Cherry
82,Liqour,Vodka,Skyy Cherry
83,Liqour,Vodka,Skyy Vodka
